date	runoff
2015-09-01	
2015-09-02	
2015-09-03	
2015-09-04	
2015-09-05	
2015-09-06	
2015-09-07	
2015-09-08	
2015-09-09	
2015-09-10	
2015-09-11	
2015-09-12	
2015-09-13	
2015-09-14	
2015-09-15	
2015-09-16	
2015-09-17	
2015-09-18	
2015-09-19	
2015-09-20	
2015-09-21	
2015-09-22	
2015-09-23	
2015-09-24	
2015-09-25	
2015-09-26	
2015-09-27	
2015-09-28	
2015-09-29	
2015-09-30	
2015-10-01	
2015-10-02	
2015-10-03	
2015-10-04	
2015-10-05	
2015-10-06	
2015-10-07	
2015-10-08	
2015-10-09	
2015-10-10	
2015-10-11	
2015-10-12	
2015-10-13	
2015-10-14	
2015-10-15	
2015-10-16	
2015-10-17	
2015-10-18	
2015-10-19	
2015-10-20	
2015-10-21	
2015-10-22	
2015-10-23	
2015-10-24	
2015-10-25	
2015-10-26	
2015-10-27	
2015-10-28	
2015-10-29	
2015-10-30	
2015-10-31	
2015-11-01	
2015-11-02	
2015-11-03	
2015-11-04	
2015-11-05	1.02
2015-11-06	1.15
2015-11-07	1.30
2015-11-08	1.25
2015-11-09	1.28
2015-11-10	1.18
2015-11-11	1.20
2015-11-12	1.21
2015-11-13	1.22
2015-11-14	1.30
2015-11-15	1.45
2015-11-16	1.42
2015-11-17	1.48
2015-11-18	1.49
2015-11-19	1.63
2015-11-20	1.61
2015-11-21	1.55
2015-11-22	1.43
2015-11-23	1.21
2015-11-24	1.08
2015-11-25	1.09
2015-11-26	1.13
2015-11-27	1.15
2015-11-28	1.40
2015-11-29	1.28
2015-11-30	1.51
2015-12-01	1.86
2015-12-02	1.41
2015-12-03	1.26
2015-12-04	1.39
2015-12-05	1.40
2015-12-06	1.39
2015-12-07	1.43
2015-12-08	1.54
2015-12-09	1.78
2015-12-10	1.87
2015-12-11	1.75
2015-12-12	1.62
2015-12-13	1.61
2015-12-14	1.47
2015-12-15	1.49
2015-12-16	1.68
2015-12-17	1.49
2015-12-18	1.48
2015-12-19	1.73
2015-12-20	1.71
2015-12-21	1.75
2015-12-22	1.81
2015-12-23	1.84
2015-12-24	1.85
2015-12-25	1.75
2015-12-26	1.93
2015-12-27	1.86
2015-12-28	2.20
2015-12-29	1.84
2015-12-30	1.86
2015-12-31	2.01
2016-01-01	1.78
2016-01-02	1.87
