id	lon	lat	elev
S1	-77.64103	-8.96617	4720
S2	-77.64028	-8.96595	4732
S3	-77.63894	-8.96501	4747
S4	-77.63884	-8.96575	4752
S5	-77.63864	-8.96673	4758
S6	-77.63802	-8.96677	4767
S7	-77.63796	-8.96558	4767
S8	-77.63788	-8.96489	4765
S9	-77.63724	-8.96488	4773
S10	-77.63715	-8.96551	4765
S11	-77.63713	-8.9668	4785
S12	-77.63624	-8.96692	4794
S13	-77.63612	-8.96584	4792
S14	-77.63592	-8.96486	4789
S15	-77.63459	-8.96498	4801
S16	-77.6346	-8.96586	4803
S17	-77.63461	-8.96682	4812
S18	-77.63342	-8.96675	4829

