stakes	r	R	PBIAS	RMSE
S1	0.979	0.958	-4.800	0.700
S2	0.982	0.964	4.700	0.600
S3	0.975	0.951	-2.300	0.700
S4	0.979	0.958	-2.500	0.600
S5	0.973	0.947	-15.000	1.300
S6	0.973	0.947	-8.700	0.900
S7	0.970	0.941	-10.200	1.000
S8	0.973	0.947	2.200	0.600
S9	0.971	0.943	-7.000	0.700
S10	0.974	0.949	-6.600	0.700
S11	0.972	0.945	-14.400	1.200
S12	0.976	0.953	8.300	0.700
S13	0.968	0.937	-1.600	0.600
S14	0.968	0.937	2.100	0.600
S15	0.964	0.929	4.200	0.600
S16	0.962	0.925	4.400	0.600
S17	0.946	0.895	12.500	0.900
S18	0.969	0.939	18.000	0.900
