	r	R	rmse	pbias
S1	0.99	0.98	0.65	-7.36
S2	1.00	0.99	0.31	3.57
S3	0.99	0.99	0.32	-1.17
S4	1.00	1.00	0.20	2.87
S5	0.99	0.99	0.82	-10.86
S6	0.99	0.99	0.39	-3.93
S7	0.99	0.99	0.43	-4.72
S8	1.00	0.99	0.52	7.34
S9	0.99	0.99	0.38	-1.78
S10	1.00	0.99	0.31	-3.46
S11	0.99	0.98	0.91	-12.37
S12	0.99	0.98	0.34	1.60
S13	0.99	0.97	0.54	-7.21
S14	0.99	0.98	0.38	-2.32
S15	0.98	0.96	0.46	-4.76
S16	0.98	0.96	0.49	-5.33
S17	0.97	0.93	0.55	1.86
S18	0.97	0.95	0.46	-6.95
S19	0.98	0.96	0.48	8.00
S20	0.98	0.96	0.66	14.44
